frame,acc_x,acc_y,acc_z,timestamp
208,0.9436377,4.311035,8.737032,20231017_132312_359
209,1.0106983,4.3158255,8.746612,20231017_132312_361
210,1.0202783,4.253555,8.674761,20231017_132312_364
211,0.9915381,4.239185,8.698711,20231017_132312_366
212,1.0154883,4.3062453,8.674761,20231017_132312_369
213,0.9867481,4.282295,8.684341,20231017_132312_372
214,1.0106983,4.3158255,8.631651,20231017_132312_376
215,1.0298585,4.272715,8.631651,20231017_132312_377
216,1.0011182,4.311035,8.665181,20231017_132312_378
217,1.0011182,4.3062453,8.602911,20231017_132312_382
218,1.0298585,4.3014555,8.56938,20231017_132312_384
219,0.9436377,4.282295,8.713081,20231017_132312_387
220,1.0011182,4.3349857,8.636441,20231017_132312_389
221,0.9580079,4.2918754,8.737032,20231017_132312_392
222,1.0011182,4.267925,8.708291,20231017_132312_395
223,1.0106983,4.2918754,8.751402,20231017_132312_397
224,0.92926764,4.3493557,8.713081,20231017_132312_399
225,0.9963282,4.373306,8.741821,20231017_132312_402
226,0.9867481,4.3062453,8.832832,20231017_132312_404
227,1.0298585,4.272715,8.703502,20231017_132312_407
228,0.977168,4.3397756,8.746612,20231017_132312_409
229,1.0202783,4.287085,8.650811,20231017_132312_412
230,1.0011182,4.311035,8.765772,20231017_132312_415
231,0.9532178,4.3158255,8.646021,20231017_132312_417
232,1.092129,4.3349857,8.669971,20231017_132312_420
233,1.0585986,4.253555,8.636441,20231017_132312_422
234,1.0873389,4.282295,8.650811,20231017_132312_425
235,1.1160791,4.3014555,8.650811,20231017_132312_427
236,1.0585986,4.253555,8.631651,20231017_132312_430
237,1.0490186,4.277505,8.612491,20231017_132312_432
238,1.0681788,4.3014555,8.679551,20231017_132312_435
239,1.0538087,4.3301954,8.727451,20231017_132312_437
240,1.0106983,4.2918754,8.703502,20231017_132312_440
241,1.0298585,4.3493557,8.727451,20231017_132312_442
242,1.0346485,4.239185,8.717872,20231017_132312_445
243,1.0346485,4.3014555,8.689131,20231017_132312_447
244,0.9915381,4.2918754,8.717872,20231017_132312_450
245,1.0154883,4.253555,8.727451,20231017_132312_452
246,1.0777588,4.263135,8.808882,20231017_132312_455
247,0.9867481,4.3397756,8.847202,20231017_132312_457
248,1.0106983,4.263135,8.727451,20231017_132312_460
249,0.9915381,4.191284,8.751402,20231017_132312_463
250,1.0394385,4.272715,8.713081,20231017_132312_465
251,0.9963282,4.277505,8.765772,20231017_132312_467
252,1.0059083,4.138594,8.751402,20231017_132312_470
253,0.9532178,4.167334,8.784932,20231017_132312_473
254,0.9580079,4.2008643,8.698711,20231017_132312_475
255,0.9627979,4.1960745,8.732242,20231017_132312_477
256,0.97237796,4.1864944,8.737032,20231017_132312_480
257,0.9915381,4.2296047,8.751402,20231017_132312_482
258,0.9532178,4.248765,8.727451,20231017_132312_485
259,1.0202783,4.176914,8.856783,20231017_132312_488
260,0.9867481,4.2296047,8.813672,20231017_132312_490
261,1.0011182,4.239185,8.890313,20231017_132312_493
262,0.9627979,4.1864944,8.981323,20231017_132312_495
263,0.9148975,4.248765,8.871153,20231017_132312_498
264,0.96758795,4.1960745,8.914263,20231017_132312_500
265,0.9867481,4.258345,9.019644,20231017_132312_503
266,1.0011182,4.3158255,8.933423,20231017_132312_506
267,0.977168,4.3445654,8.947793,20231017_132312_508
268,0.9867481,4.358936,8.981323,20231017_132312_511
269,1.0154883,4.392466,9.053174,20231017_132312_513
270,1.0633887,4.3493557,9.081915,20231017_132312_516
271,1.0346485,4.382886,9.062755,20231017_132312_518
272,1.0298585,4.287085,9.115445,20231017_132312_521
273,1.0490186,4.248765,9.057964,20231017_132312_523
274,1.0346485,4.1960745,9.077125,20231017_132312_526
275,0.90052736,4.1146436,9.101074,20231017_132312_528
276,0.9627979,4.1098537,8.981323,20231017_132312_531
277,0.9388477,3.9613624,9.038804,20231017_132312_533
278,0.9484278,3.9901028,8.957374,20231017_132312_536
279,1.0059083,4.061953,8.8951025,20231017_132312_538
280,0.96758795,4.033213,8.923843,20231017_132312_541
281,1.0011182,4.119434,8.871153,20231017_132312_543
282,0.9627979,4.157754,8.789722,20231017_132312_546
283,0.9244776,4.1098537,8.732242,20231017_132312_549
284,0.9436377,4.248765,8.765772,20231017_132312_551
285,0.9436377,4.282295,8.813672,20231017_132312_554
286,0.9532178,4.2918754,8.765772,20231017_132312_556
287,0.977168,4.3301954,8.770562,20231017_132312_559
288,0.9436377,4.382886,8.828042,20231017_132312_561
289,1.0250684,4.5074267,8.775352,20231017_132312_564
290,1.0442286,4.526587,8.818462,20231017_132312_567
291,1.0202783,4.521797,8.780142,20231017_132312_569
292,1.0633887,4.521797,8.713081,20231017_132312_571
293,1.0729688,4.5744877,8.765772,20231017_132312_574
294,1.0729688,4.493057,8.708291,20231017_132312_576
295,1.0394385,4.526587,8.732242,20231017_132312_579
296,1.0777588,4.392466,8.727451,20231017_132312_581
297,1.092129,4.406836,8.765772,20231017_132312_584
298,1.1735597,4.3301954,8.756192,20231017_132312_587
299,1.0825489,4.2439747,8.813672,20231017_132312_589
300,1.1160791,4.119434,8.808882,20231017_132312_591
301,1.101709,4.009263,8.842413,20231017_132312_594
302,1.1256592,3.9948928,8.717872,20231017_132312_596
303,1.0825489,4.0523734,8.804092,20231017_132312_599
304,1.1304493,4.071533,8.780142,20231017_132312_602
305,1.1112891,4.023633,8.765772,20231017_132312_604
306,1.1112891,4.1242237,8.732242,20231017_132312_607
307,1.0538087,4.119434,8.765772,20231017_132312_610
308,1.0154883,4.148174,8.808882,20231017_132312_612
309,1.0633887,4.181704,8.717872,20231017_132312_614
310,1.0633887,4.181704,8.780142,20231017_132312_617
311,1.0777588,4.2104445,8.737032,20231017_132312_619
312,1.0681788,4.191284,8.765772,20231017_132312_622
313,1.1160791,4.191284,8.751402,20231017_132312_625
314,1.0777588,4.2296047,8.832832,20231017_132312_627
315,1.0538087,4.2296047,8.828042,20231017_132312_630
316,1.0394385,4.253555,8.880733,20231017_132312_632
317,1.0250684,4.2200246,8.789722,20231017_132312_635
318,1.0394385,4.253555,8.880733,20231017_132312_637
319,1.0011182,4.263135,8.880733,20231017_132312_640
320,0.977168,4.2152348,8.837623,20231017_132312_642
321,0.977168,4.3206153,8.808882,20231017_132312_645
322,0.97237796,4.3014555,8.756192,20231017_132312_648
323,0.9867481,4.3349857,8.770562,20231017_132312_650
324,0.9963282,4.311035,8.789722,20231017_132312_653
325,0.977168,4.397256,8.760982,20231017_132312_655
326,0.87178713,4.4499464,8.784932,20231017_132312_658
327,0.9053174,4.373306,8.751402,20231017_132312_660
328,0.977168,4.4355764,8.775352,20231017_132312_663
329,0.9915381,4.4116263,8.722662,20231017_132312_665
330,0.9867481,4.4355764,8.770562,20231017_132312_668
331,0.977168,4.397256,8.722662,20231017_132312_670
332,1.0298585,4.4116263,8.737032,20231017_132312_673
333,0.93405765,4.378096,8.717872,20231017_132312_676
334,0.9627979,4.358936,8.813672,20231017_132312_678
335,0.9867481,4.3301954,8.847202,20231017_132312_680
336,0.9532178,4.368516,8.765772,20231017_132312_683
337,0.9627979,4.296665,8.866363,20231017_132312_686
338,1.0202783,4.3062453,8.851993,20231017_132312_688
339,0.89573735,4.2248144,8.823253,20231017_132312_690
340,0.9580079,4.3014555,8.890313,20231017_132312_693
341,0.9148975,4.2056546,8.885523,20231017_132312_696
342,0.96758795,4.287085,8.875943,20231017_132312_698
343,0.96758795,4.181704,8.866363,20231017_132312_701
344,0.9963282,4.1960745,8.899893,20231017_132312_703
345,0.9532178,4.2343946,8.866363,20231017_132312_706
346,0.97237796,4.3014555,8.832832,20231017_132312_709
347,1.0059083,4.2296047,8.794512,20231017_132312_712
348,0.9484278,4.2248144,8.818462,20231017_132312_714
349,1.0298585,4.2343946,8.794512,20231017_132312_716
350,1.0202783,4.272715,8.808882,20231017_132312_718
351,1.0394385,4.1960745,8.813672,20231017_132312_721
352,1.0202783,4.2439747,8.737032,20231017_132312_724
353,1.0873389,4.248765,8.770562,20231017_132312_726
354,1.0633887,4.248765,8.875943,20231017_132312_729
355,1.0394385,4.272715,8.8951025,20231017_132312_731
356,1.1496094,4.181704,8.871153,20231017_132312_734
357,1.101709,4.2008643,8.837623,20231017_132312_736
358,1.0825489,4.296665,8.851993,20231017_132312_739
359,1.0825489,4.176914,8.775352,20231017_132312_741
360,1.0394385,4.2918754,8.842413,20231017_132312_744
361,1.0681788,4.253555,8.875943,20231017_132312_747
362,1.0059083,4.282295,8.832832,20231017_132312_749
363,1.0298585,4.3062453,8.909473,20231017_132312_752
364,1.0633887,4.282295,8.875943,20231017_132312_754
365,1.0633887,4.253555,8.923843,20231017_132312_757
366,1.0873389,4.1864944,8.780142,20231017_132312_760
367,1.0633887,4.248765,8.871153,20231017_132312_762
368,1.0825489,4.2200246,8.813672,20231017_132312_764
369,1.0777588,4.2248144,8.837623,20231017_132312_767
370,1.0538087,4.258345,8.756192,20231017_132312_769
371,1.0825489,4.248765,8.760982,20231017_132312_772
372,1.0681788,4.2248144,8.703502,20231017_132312_774
373,1.096919,4.258345,8.717872,20231017_132312_776
374,1.0825489,4.239185,8.703502,20231017_132312_779
375,1.0681788,4.2056546,8.727451,20231017_132312_781
376,1.0538087,4.2296047,8.737032,20231017_132312_784
377,1.0011182,4.2343946,8.885523,20231017_132312_787
378,1.0154883,4.157754,8.818462,20231017_132312_790
379,0.9867481,4.2296047,8.871153,20231017_132312_792
380,0.9484278,4.1864944,8.861572,20231017_132312_794
381,0.9532178,4.176914,9.005274,20231017_132312_797
382,1.0011182,4.2056546,8.981323,20231017_132312_799
383,1.0106983,4.1625443,8.952583,20231017_132312_802
384,1.0106983,4.2248144,9.029224,20231017_132312_804
385,1.0490186,4.2296047,9.0148535,20231017_132312_807
386,1.0059083,4.2152348,8.981323,20231017_132312_810
387,0.9963282,4.239185,8.966953,20231017_132312_812
388,1.0298585,4.2439747,8.933423,20231017_132312_815
389,1.0490186,4.253555,8.875943,20231017_132312_817
390,1.0011182,4.3062453,8.899893,20231017_132312_820
391,1.0059083,4.373306,8.938213,20231017_132312_822
392,1.0298585,4.406836,8.880733,20231017_132312_825
393,1.0490186,4.3493557,8.899893,20231017_132312_827
394,1.0585986,4.3445654,8.756192,20231017_132312_830
395,1.0633887,4.3493557,8.851993,20231017_132312_832
396,1.0729688,4.282295,8.856783,20231017_132312_835
397,0.9963282,4.282295,8.799302,20231017_132312_837
398,1.0202783,4.3301954,8.866363,20231017_132312_840
399,1.0873389,4.258345,8.875943,20231017_132312_843
400,1.0777588,4.296665,8.804092,20231017_132312_845
401,1.0490186,4.248765,8.780142,20231017_132312_848
402,1.0873389,4.3014555,8.823253,20231017_132312_851
403,0.9963282,4.2008643,8.842413,20231017_132312_853
404,1.0394385,4.2296047,8.847202,20231017_132312_856
405,0.97237796,4.167334,8.871153,20231017_132312_858
406,0.98195803,4.2056546,8.904683,20231017_132312_860
407,0.97237796,4.2296047,8.847202,20231017_132312_863
408,1.0106983,4.2343946,8.837623,20231017_132312_865
409,1.0394385,4.2248144,8.713081,20231017_132312_868
410,1.0011182,4.248765,8.832832,20231017_132312_871
411,1.0154883,4.1960745,8.832832,20231017_132312_873
412,1.0298585,4.2008643,8.780142,20231017_132312_876
413,1.0346485,4.1960745,8.732242,20231017_132312_878
414,1.0442286,4.2343946,8.794512,20231017_132312_880
415,1.0442286,4.2248144,8.875943,20231017_132312_883
416,1.0059083,4.152964,8.794512,20231017_132312_886
417,1.0585986,4.2296047,8.856783,20231017_132312_888
418,1.0298585,4.2200246,8.880733,20231017_132312_891
419,1.0442286,4.2152348,8.856783,20231017_132312_893
420,0.9963282,4.2439747,8.799302,20231017_132312_896
421,1.0059083,4.263135,8.8951025,20231017_132312_898
422,1.0106983,4.272715,8.856783,20231017_132312_901
423,1.0681788,4.258345,8.885523,20231017_132312_903
424,1.0633887,4.282295,8.914263,20231017_132312_906
425,1.0106983,4.1864944,8.8951025,20231017_132312_909
426,1.0538087,4.258345,8.871153,20231017_132312_911
427,1.0442286,4.2200246,8.890313,20231017_132312_913
428,1.0633887,4.277505,8.780142,20231017_132312_916
429,0.9915381,4.253555,8.837623,20231017_132312_918
430,1.0250684,4.263135,8.832832,20231017_132312_921
431,1.0394385,4.277505,8.856783,20231017_132312_924
432,1.0011182,4.3062453,8.813672,20231017_132312_926
433,1.0490186,4.248765,8.698711,20231017_132312_929
434,1.0681788,4.311035,8.684341,20231017_132312_931
435,1.0059083,4.2439747,8.775352,20231017_132312_934
436,1.0011182,4.287085,8.770562,20231017_132312_936
437,1.0394385,4.2008643,8.789722,20231017_132312_939
438,1.0202783,4.296665,8.808882,20231017_132312_941
439,1.0442286,4.3301954,8.765772,20231017_132312_944
440,1.0202783,4.258345,8.737032,20231017_132312_946
441,1.0681788,4.258345,8.770562,20231017_132312_949
442,1.0490186,4.3062453,8.713081,20231017_132312_952
443,1.0298585,4.2918754,8.737032,20231017_132312_954
444,0.98195803,4.3445654,8.775352,20231017_132312_957
445,1.0154883,4.296665,8.746612,20231017_132312_959
446,1.0250684,4.3014555,8.770562,20231017_132312_962
447,0.98195803,4.2056546,8.746612,20231017_132312_964
448,1.0106983,4.3014555,8.770562,20231017_132312_967
449,1.0633887,4.3062453,8.717872,20231017_132312_969
450,1.0442286,4.253555,8.784932,20231017_132312_972
451,1.0250684,4.263135,8.780142,20231017_132312_974
452,1.0729688,4.2918754,8.717872,20231017_132312_977
453,1.0250684,4.277505,8.780142,20231017_132312_979
454,1.0106983,4.3158255,8.837623,20231017_132312_982
455,1.096919,4.287085,8.842413,20231017_132312_984
456,1.0394385,4.3014555,8.770562,20231017_132312_987
457,1.0346485,4.287085,8.727451,20231017_132312_990
458,1.0490186,4.2439747,8.770562,20231017_132312_992
459,1.0442286,4.2296047,8.818462,20231017_132312_994
460,1.092129,4.3062453,8.780142,20231017_132312_997
461,1.0825489,4.277505,8.770562,20231017_132312_999
462,1.092129,4.2200246,8.847202,20231017_132313_002
463,1.1256592,4.287085,8.794512,20231017_132313_005
464,1.096919,4.272715,8.813672,20231017_132313_007
465,1.0202783,4.2248144,8.794512,20231017_132313_010
466,1.0346485,4.181704,8.875943,20231017_132313_012
467,1.0538087,4.263135,8.818462,20231017_132313_015
468,1.0011182,4.2439747,8.770562,20231017_132313_017
469,1.0106983,4.181704,8.837623,20231017_132313_020
470,1.0346485,4.2343946,8.8951025,20231017_132313_022
471,0.9627979,4.2200246,8.880733,20231017_132313_025
472,0.9532178,4.2343946,8.904683,20231017_132313_028
473,0.9867481,4.2296047,8.928633,20231017_132313_030
474,0.9915381,4.258345,8.866363,20231017_132313_033
475,0.9532178,4.1960745,8.952583,20231017_132313_035
476,0.98195803,4.2439747,8.952583,20231017_132313_038
477,0.977168,4.167334,8.880733,20231017_132313_040
478,1.0346485,4.267925,8.885523,20231017_132313_042
479,1.0154883,4.258345,8.856783,20231017_132313_045
480,0.9580079,4.248765,8.904683,20231017_132313_048
481,1.0059083,4.263135,8.808882,20231017_132313_051
482,1.0394385,4.2152348,8.775352,20231017_132313_053
483,0.96758795,4.253555,8.856783,20231017_132313_055
484,0.977168,4.2248144,8.765772,20231017_132313_058
485,0.8861573,4.2439747,8.746612,20231017_132313_060
486,0.7951465,4.311035,8.799302,20231017_132313_063
487,1.0298585,4.2152348,8.818462,20231017_132313_066
488,1.0729688,4.253555,8.784932,20231017_132313_068
489,1.1400293,4.2918754,8.818462,20231017_132313_071
490,1.0729688,4.2152348,8.818462,20231017_132313_073
491,1.101709,4.2152348,8.866363,20231017_132313_076
492,1.0873389,4.248765,8.8951025,20231017_132313_078
493,1.0250684,4.2152348,8.919053,20231017_132313_081
494,1.0394385,4.282295,8.851993,20231017_132313_083
495,1.0394385,4.239185,8.880733,20231017_132313_086
496,1.0394385,4.2296047,8.861572,20231017_132313_088
497,1.0154883,4.282295,8.871153,20231017_132313_091
498,1.0538087,4.239185,8.885523,20231017_132313_093
499,1.0490186,4.2056546,8.885523,20231017_132313_096
500,1.101709,4.2152348,8.8951025,20231017_132313_098
501,1.092129,4.3254056,8.847202,20231017_132313_101
502,1.0777588,4.2152348,8.885523,20231017_132313_103
503,1.0825489,4.239185,8.861572,20231017_132313_106
504,1.0585986,4.287085,8.837623,20231017_132313_109
505,1.0681788,4.2918754,8.890313,20231017_132313_111
506,1.0873389,4.2248144,8.909473,20231017_132313_113
